"filename", "language", "XML", "HTML", "C#", "Markdown", "Python", "Batch", "PowerShell", "Shell Script", "Properties", "CSS", "C++", "JSON", "reStructuredText", "JavaScript", "Visual Basic", "comment", "blank", "total"
"f:\VS 2022\repos\IDE\Py-CN.xshd", "XML", 285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 24, 391
"f:\VS 2022\repos\IDE\Python.xshd", "XML", 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 175
"f:\VS 2022\repos\IDE\README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"f:\VS 2022\repos\IDE\README_EN.md", "Markdown", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12
"f:\VS 2022\repos\IDE\Settings.xshd", "XML", 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 174
"f:\VS 2022\repos\IDE\Settings\CodeSettings.Designer.cs", "C#", 0, 0, 249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 5, 337
"f:\VS 2022\repos\IDE\Settings\CodeSettings.cs", "C#", 0, 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 165
"f:\VS 2022\repos\IDE\Settings\CustomSettings.Designer.cs", "C#", 0, 0, 619, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 5, 746
"f:\VS 2022\repos\IDE\Settings\CustomSettings.Initializer.cs", "C#", 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 108
"f:\VS 2022\repos\IDE\Settings\CustomSettings.cs", "C#", 0, 0, 360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 32, 420
"f:\VS 2022\repos\IDE\Settings\RYCBColorPicker.Designer.cs", "C#", 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 7, 195
"f:\VS 2022\repos\IDE\Settings\RYCBColorPicker.cs", "C#", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 11, 90
"f:\VS 2022\repos\IDE\UpgradeLog.htm", "HTML", 0, 472, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 64, 538
"f:\VS 2022\repos\IDE\Utils\Boxes\CacheCleaner\CacheCleaner.Designer.cs", "C#", 0, 0, 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 7, 256
"f:\VS 2022\repos\IDE\Utils\Boxes\CacheCleaner\CacheCleaner.Initializer.cs", "C#", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 75
"f:\VS 2022\repos\IDE\Utils\Boxes\CacheCleaner\CacheCleaner.cs", "C#", 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15, 144
"f:\VS 2022\repos\IDE\Utils\Boxes\ErrorMessageBox\ErrorMessageBox.Designer.cs", "C#", 0, 0, 256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 7, 313
"f:\VS 2022\repos\IDE\Utils\Boxes\ErrorMessageBox\ErrorMessageBox.Initializer.cs", "C#", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"f:\VS 2022\repos\IDE\Utils\Boxes\ErrorMessageBox\ErrorMessageBox.cs", "C#", 0, 0, 398, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 420
"f:\VS 2022\repos\IDE\Utils\Boxes\InterpreterConfigBox\InterpreterConfigBox.Designer.cs", "C#", 0, 0, 293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 7, 365
"f:\VS 2022\repos\IDE\Utils\Boxes\InterpreterConfigBox\InterpreterConfigBox.cs", "C#", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 89
"f:\VS 2022\repos\IDE\Utils\Boxes\MessageBoxEX.cs", "C#", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 21, 128
"f:\VS 2022\repos\IDE\Utils\Boxes\MsgInIDE\MsgBox.Designer.cs", "C#", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 8, 70
"f:\VS 2022\repos\IDE\Utils\Boxes\MsgInIDE\MsgBox.cs", "C#", 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 149
"f:\VS 2022\repos\IDE\Utils\Boxes\NewFileBox\NewFileBox.Designer.cs", "C#", 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 7, 184
"f:\VS 2022\repos\IDE\Utils\Boxes\NewFileBox\NewFileBox.Initializer.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"f:\VS 2022\repos\IDE\Utils\Boxes\NewFileBox\NewFileBox.cs", "C#", 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 158
"f:\VS 2022\repos\IDE\Utils\Boxes\PlugInHandler\PlugInHandlerMainWindow.Designer.cs", "C#", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 8, 106
"f:\VS 2022\repos\IDE\Utils\Boxes\PlugInHandler\PlugInHandlerMainWindow.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"f:\VS 2022\repos\IDE\Utils\Boxes\RYCBSearchPanel.Designer.cs", "C#", 0, 0, 305, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 7, 380
"f:\VS 2022\repos\IDE\Utils\Boxes\RYCBSearchPanel.cs", "C#", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 76
"f:\VS 2022\repos\IDE\Utils\Boxes\TBox.Designer.cs", "C#", 0, 0, 765, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 164, 7, 936
"f:\VS 2022\repos\IDE\Utils\Boxes\TBox.cs", "C#", 0, 0, 364, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 50, 422
"f:\VS 2022\repos\IDE\Utils\Boxes\TextEnterBox.Designer.cs", "C#", 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 6, 136
"f:\VS 2022\repos\IDE\Utils\Boxes\TextEnterBox.cs", "C#", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 40
"f:\VS 2022\repos\IDE\Utils\Boxes\Tools\FileSHAorMD5Checker.Designer.cs", "C#", 0, 0, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 6, 331
"f:\VS 2022\repos\IDE\Utils\Boxes\Tools\FileSHAorMD5Checker.cs", "C#", 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 117
